Human,V_title,Frame,Nose_x,Nose_y,Neck_x,Neck_y,RShoulder_x,RShoulder_y,RElbow_x,RElbow_y,RWrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y,Head & Neck_x_PCM,Head & Neck_y_PCM,Trunk_x_PCM,Trunk_y_PCM,R Upper Arm_x_PCM,R Upper Arm_y_PCM,L Upper Arm_x_PCM,L Upper Arm_y_PCM,R Forearm_x_PCM,R Forearm_y_PCM,L Forearm_x_PCM,L Forearm_y_PCM,R Hand_x_PCM,R Hand_y_PCM,L Hand_x_PCM,L Hand_y_PCM,R Thigh_x_PCM,R Thigh_y_PCM,L Thigh_x_PCM,L Thigh_y_PCM,R Shank_x_PCM,R Shank_y_PCM,L Shank_x_PCM,L Shank_y_PCM,R Foot_x_PCM,R Foot_y_PCM,L Foot_x_PCM,L Foot_y_PCM,TCM_x,TCM_y,Head & Neck_L,Trunk_L,R Upper Arm_L,L Upper Arm_L,R Forearm_L,L Forearm_L,R Hand_L,L Hand_L,R Thigh_L,L Thigh_L,R Shank_L,L Shank_L,R Foot_L,L Foot_L,Head & Neck_R,Trunk_R,R Upper Arm_R,L Upper Arm_R,R Forearm_R,L Forearm_R,R Hand_R,L Hand_R,R Thigh_R,L Thigh_R,R Shank_R,L Shank_R,R Foot_R,L Foot_R,D1,D2,D3
P1,2001,109,nan,nan,0.5796875,0.225,nan,nan,nan,nan,nan,nan,0.615625,0.21944444444444444,0.6171875,0.3472222222222222,nan,nan,nan,nan,nan,nan,nan,nan,0.5796875,0.45,0.5921875,0.5944444444444444,nan,nan,nan,nan,nan,nan,nan,nan,0.5796875,0.225,nan,nan,nan,nan,0.616526875,0.2931977777777778,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.58480625,0.50915,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,nan,nan,nan
P1,2001,111,nan,nan,0.6,0.23055555555555557,nan,nan,nan,nan,nan,nan,0.6328125,0.23333333333333334,0.634375,0.36666666666666664,nan,nan,0.5296875,0.6277777777777778,0.503125,0.7972222222222223,0.49375,0.8583333333333333,0.6,0.4722222222222222,0.59375,0.7416666666666667,0.5921875,0.8638888888888889,nan,nan,nan,nan,nan,nan,0.6,0.23055555555555557,nan,nan,nan,nan,0.633714375,0.3102933333333333,nan,nan,nan,nan,nan,nan,nan,nan,0.51881015625,0.6971652777777778,0.597440625,0.5825597222222222,0.49900468750000004,0.8240805555555556,0.59306328125,0.7953833333333333,0.49375,0.8583333333333333,0.5921875,0.8638888888888889,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,nan,nan,nan
P1,2001,117,nan,nan,0.6265625,0.225,nan,nan,nan,nan,nan,nan,0.6578125,0.22777777777777777,0.665625,0.35833333333333334,nan,nan,0.571875,0.4888888888888889,0.58125,0.6111111111111112,nan,nan,0.621875,0.5055555555555555,0.596875,0.7805555555555556,0.5953125,0.8611111111111112,nan,nan,nan,nan,nan,nan,0.6265625,0.225,nan,nan,nan,nan,0.6623218750000001,0.30313444444444443,nan,nan,nan,nan,nan,nan,nan,nan,0.5757140625,0.5389388888888889,0.6116375,0.6181680555555555,nan,nan,0.59618828125,0.8159597222222222,nan,nan,0.5953125,0.8611111111111112,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,nan,nan,nan
P1,2001,119,nan,nan,0.634375,0.21944444444444444,nan,nan,nan,nan,nan,nan,0.6640625,0.22777777777777777,0.6703125,0.35,nan,nan,0.578125,0.4861111111111111,0.5859375,0.625,nan,nan,0.6234375,0.5472222222222223,0.603125,0.725,0.5921875,0.8611111111111112,nan,nan,nan,nan,nan,nan,0.634375,0.21944444444444444,nan,nan,nan,nan,0.66767,0.2983244444444444,nan,nan,nan,nan,nan,nan,nan,nan,0.58132421875,0.5429861111111112,0.61511953125,0.6200222222222223,nan,nan,0.59831796875,0.7848208333333333,nan,nan,0.5921875,0.8611111111111112,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,nan,nan,nan
P1,2001,121,nan,nan,0.6453125,0.2388888888888889,0.675,0.2388888888888889,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5859375,0.49166666666666664,0.5875,0.5666666666666667,0.5890625,0.6305555555555555,0.6296875,0.5194444444444445,0.609375,0.6694444444444444,0.5921875,0.8583333333333333,nan,nan,nan,nan,nan,nan,0.6453125,0.2388888888888889,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.58657734375,0.5223791666666666,0.6213695312499999,0.5808694444444444,0.5881867187500001,0.5947458333333333,0.60182109375,0.752461111111111,0.5890625,0.6305555555555555,0.5921875,0.8583333333333333,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,nan,nan,nan
P1,2001,123,nan,nan,0.64375,0.25277777777777777,nan,nan,nan,nan,nan,nan,0.6796875,0.25555555555555554,0.68125,0.37777777777777777,nan,nan,0.59375,0.49444444444444446,nan,nan,nan,nan,0.634375,0.5305555555555556,0.609375,0.6638888888888889,0.5953125,0.8527777777777777,nan,nan,nan,nan,nan,nan,0.64375,0.25277777777777777,nan,nan,nan,nan,0.680589375,0.3261022222222222,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6241375,0.5851555555555555,nan,nan,0.60319453125,0.7469055555555555,nan,nan,0.5953125,0.8527777777777777,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,nan,nan,nan
P1,2001,125,nan,nan,0.65,0.25277777777777777,nan,nan,nan,nan,nan,nan,0.68125,0.25833333333333336,0.6828125,0.38055555555555554,nan,nan,0.596875,0.49722222222222223,nan,nan,nan,nan,0.634375,0.5305555555555556,0.6125,0.6555555555555556,0.59375,0.8611111111111112,nan,nan,nan,nan,nan,nan,0.65,0.25277777777777777,nan,nan,nan,nan,0.6821518750000001,0.32888,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6254171875000001,0.5817430555555556,nan,nan,0.604259375,0.7458972222222222,nan,nan,0.59375,0.8611111111111112,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,nan,nan,nan
P1,2001,127,nan,nan,0.6546875,0.25833333333333336,nan,nan,nan,nan,nan,nan,0.6828125,0.25833333333333336,0.684375,0.37777777777777777,nan,nan,0.60625,0.5166666666666667,0.6109375,0.6,nan,nan,0.6515625,0.5277777777777778,0.6328125,0.6444444444444445,nan,nan,nan,nan,nan,nan,nan,nan,0.6546875,0.25833333333333336,nan,nan,nan,nan,0.683714375,0.32727666666666666,nan,nan,nan,nan,nan,nan,nan,nan,0.60816953125,0.5507916666666667,0.6438843750000001,0.5755527777777778,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,nan,nan,nan
P1,2001,129,nan,nan,0.65625,0.25277777777777777,nan,nan,nan,nan,nan,nan,0.684375,0.25555555555555554,0.6875,0.37222222222222223,nan,nan,0.6171875,0.48333333333333334,0.6234375,0.7444444444444445,0.6359375,0.8111111111111111,0.659375,0.5305555555555556,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.65625,0.25277777777777777,nan,nan,nan,nan,0.68617875,0.32289555555555555,nan,nan,nan,nan,nan,nan,nan,nan,0.619746875,0.5902583333333333,nan,nan,0.62893125,0.7737444444444445,nan,nan,0.6359375,0.8111111111111111,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,nan,nan,nan
P1,2001,131,nan,nan,0.6578125,0.25555555555555554,0.6296875,0.25,0.5953125,0.37777777777777777,nan,nan,0.6875,0.25555555555555554,0.6890625,0.375,nan,nan,0.6140625,0.4861111111111111,nan,nan,nan,nan,0.653125,0.4583333333333333,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6578125,0.25555555555555554,0.9592953125,0.5232402777777778,0.60984625,0.32375333333333334,0.688401875,0.3244988888888889,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,nan,nan,nan
P1,2001,133,nan,nan,0.665625,0.25555555555555554,0.63125,0.24444444444444444,0.603125,0.3638888888888889,nan,nan,0.6953125,0.25555555555555554,0.69375,0.37222222222222223,nan,nan,0.621875,0.4638888888888889,0.628125,0.55,nan,nan,0.6609375,0.4527777777777778,0.671875,0.5888888888888889,nan,nan,nan,nan,nan,nan,nan,nan,0.665625,0.25555555555555554,0.9674578125,0.5093041666666667,0.61501625,0.31338777777777777,0.694410625,0.32289555555555555,nan,nan,nan,nan,nan,nan,nan,nan,0.624434375,0.49915138888888894,0.66541640625,0.5085152777777778,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,nan,nan,nan
P1,2001,135,nan,nan,0.6703125,0.2638888888888889,0.6421875,0.24722222222222223,0.6125,0.35833333333333334,0.609375,0.375,0.7,0.26666666666666666,0.703125,0.375,nan,nan,0.628125,0.46111111111111114,0.63125,0.6444444444444445,0.6234375,0.8083333333333333,0.6765625,0.46111111111111114,0.68125,0.5638888888888889,nan,nan,nan,nan,nan,nan,nan,nan,0.6703125,0.2638888888888889,0.9810757812500001,0.5146444444444445,0.625051875,0.31135555555555555,0.70180375,0.32919666666666664,0.611070625,0.36595666666666665,nan,nan,0.609375,0.375,nan,nan,0.6294046875,0.5361861111111111,0.67848203125,0.5031986111111111,0.62781640625,0.7164736111111112,nan,nan,0.6234375,0.8083333333333333,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,nan,nan,nan
P1,2001,137,nan,nan,0.671875,0.2638888888888889,0.6421875,0.24444444444444444,0.615625,0.3527777777777778,nan,nan,0.703125,0.26666666666666666,0.70625,0.375,0.7125,0.375,0.634375,0.4861111111111111,0.628125,0.6555555555555556,0.6234375,0.8055555555555556,0.6828125,0.4666666666666667,0.678125,0.6027777777777777,0.6734375,0.7694444444444445,nan,nan,nan,nan,nan,nan,0.671875,0.2638888888888889,0.9860054687500001,0.525036111111111,0.626855625,0.30697444444444444,0.70492875,0.32919666666666664,nan,nan,0.7091087500000001,0.375,nan,nan,0.7125,0.375,0.631815625,0.5554986111111111,0.68089296875,0.5224041666666667,0.62606484375,0.7214805555555556,0.67606484375,0.6760277777777778,0.6234375,0.8055555555555556,0.6734375,0.7694444444444445,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,nan,nan,nan
